Dates,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity
5/30/14,236.7786,90.1023,22.5965,43.4836,71.243,57.7593,111.8419,52.19,62.0036,62.2706,66.1291,57.8648,111.9161,62.4615,126.3783,94.5551,2.7237,130.5953,40.7077,46.905,66.0248,169.3586,161.3584,146.5874,172.4382,105.3024,195.59724
6/30/14,241.6641,90.9329,23.1432,44.2967,72.7524,57.6144,118.0022,54.63,64.9972,65.0398,66.4414,57.4968,113.0485,63.4687,127.5252,96.4297,3.0198,131.2784,41.1929,48.4153,65.9113,169.9883,161.2665,146.2714,172.0079,105.2185,195.61271
7/31/14,238.4168,88.5655,22.8073,45.0475,72.8481,55.7032,113.9116,54.45,65.9767,60.6166,63.7007,54.073,112.9225,62.2029,127.7095,97.5895,3.0198,132.0751,41.7362,49.6684,63.1294,169.8333,160.8616,145.9499,173.1537,105.1374,194.98994
8/29/14,247.8255,88.7251,23.7742,46.526,76.3763,58.2729,116.399,53.54,73.0505,63.5997,66.3923,54.1681,116.8435,64.6066,131.2587,100.6676,3.0198,135.9385,41.6819,53.934,63.5094,170.8624,162.7099,148.6919,181.3292,105.3327,198.89487
9/30/14,244.4077,85.2804,23.6789,46.2856,76.708,58.6144,107.3772,53.41,59.1069,62.4041,65.6318,52.3068,109.9617,63.6988,123.6234,99.1827,3.0198,127.9664,40.8876,46.6812,61.1753,166.4295,161.7098,147.133,177.506,105.2556,195.55286
10/31/14,250.1637,85.0543,24.3636,47.028,80.7408,60.6933,103.5855,54.72,58.8213,67.4154,68.1756,50.8124,119.1464,62.1702,136.7293,100.7326,3.0198,141.8887,41.5975,46.4787,59.8318,167.9294,163.429,149.391,182.5011,105.53,197.96291
11/28/14,257.0362,85.1075,24.9359,49.2901,83.5494,64.0587,94.5801,52.73,56.9304,68.2012,70.2748,52.7824,122.3881,63.1465,139.6727,104.9704,3.0198,145.4639,42.007,45.1117,61.0396,168.1967,164.5032,151.3155,187.9166,105.6403,199.76894
12/31/14,256.3782,81.7002,25.4023,48.2175,82.3759,63.4602,94.3632,51.3,50.342,70.6328,70.257,49.7121,123.3792,62.7894,142.3017,103.4476,3.0198,148.1404,40.2045,40.7069,58.0972,166.4289,164.7469,151.5111,194.0265,105.3313,199.73529
1/30/15,248.7819,82.2105,23.6355,46.5266,83.448,62.8451,90.0598,52.44,47.2309,72.2782,67.7611,50.191,130.4281,61.639,151.6319,100.3621,3.0198,158.8333,39.1884,38.5187,58.3704,171.8076,168.1281,158.0296,213.0717,105.9923,207.22892
2/27/15,262.7645,87.4208,25.0119,50.2464,87.0259,65.4495,94.1963,56.37,48.7039,67.6561,71.3869,53.3108,127.0402,66.5505,146.0745,107.8307,3.0198,152.6531,42.3191,40.6813,61.8675,169.5937,166.6239,154.1237,199.9942,105.6842,204.28521
